description,code,type
Lic Nomura Mf Rgess Fund Series -2 -regular Plan- Dividend Payout Option EOD Prices,BOM537959,BSE
Lic Nomura Mf Rgess Fund Series -3 -direct Plan -growth Option EOD Prices,BOM538959,BSE
Lic Nomura Mf Rgess Fund Series -3- Regular Plan -dividend Payout Option EOD Prices,BOM538958,BSE
Lic Nomura Mf Rgess Fund Series- 2 -direct Plan -dividend Payout Option EOD Prices,BOM537961,BSE
Lic Nomura Mf Rgess Fund Series- 2 -direct Plan- Growth Option EOD Prices,BOM537960,BSE
Lic Nomura Mf Rgess Fund Series- 3 -direct Plan -dividend Payout Option EOD Prices,BOM538960,BSE
Lic Nomura Mf Rgess Fund Series- 3 -regular Plan- Growth Option EOD Prices,BOM538957,BSE
Lifeline Drugs & Pharma Ltd. EOD Prices,BOM506113,BSE
Lime Chemicals Ltd. EOD Prices,BOM507759,BSE
Linaks Microelectronics Ltd. EOD Prices,BOM517463,BSE
Linc Pen & Plastics Ltd.-$ EOD Prices,BOM531241,BSE
Lincoln Pharmaceuticals Ltd. EOD Prices,BOM531633,BSE
Linde India Limited EOD Prices,BOM523457,BSE
Linear Polymers Ltd. EOD Prices,BOM524103,BSE
Link Pharma Chem Ltd. EOD Prices,BOM524748,BSE
Linkson International Ltd. EOD Prices,BOM508982,BSE
Lippi Systems Ltd.-$ EOD Prices,BOM526604,BSE
Lkp Finance Limited EOD Prices,BOM507912,BSE
Lloyd Electric & Engineering Ltd. EOD Prices,BOM517518,BSE
Lloyds Finance Ltd. EOD Prices,BOM507870,BSE
Lloyds Metals And Energy Ltd. EOD Prices,BOM512455,BSE
Lml Ltd. EOD Prices,BOM500255,BSE
Ln Industries India Ltd. EOD Prices,BOM530745,BSE
Lohia Securities Ltd. EOD Prices,BOM590082,BSE
Lok Housing & Constructions Ltd.-$ EOD Prices,BOM500256,BSE
Lokesh Machines Ltd. EOD Prices,BOM532740,BSE
Longview Tea Company Ltd. EOD Prices,BOM526568,BSE
Looks Health Services Limited EOD Prices,BOM534422,BSE
Lords Chemicals Ltd. EOD Prices,BOM530039,BSE
Lords Chloro Alkali Ltd. EOD Prices,BOM500284,BSE
Lords Ishwar Hotels Limited EOD Prices,BOM530065,BSE
Lotus Chocolate Co.ltd. EOD Prices,BOM523475,BSE
Lotus Eye Care Hospital Ltd. EOD Prices,BOM532998,BSE
Lovable Lingerie Ltd. EOD Prices,BOM533343,BSE
Loyal Equipments Ltd EOD Prices,BOM539227,BSE
Loyal Textile Mills Ltd.-$ EOD Prices,BOM514036,BSE
Ls Industries Ltd. EOD Prices,BOM514446,BSE
Lt Foods Ltd. EOD Prices,BOM532783,BSE
Ludlow Jute & Specialities Ltd. EOD Prices,BOM526179,BSE
Luharuka Media & Infra Ltd EOD Prices,BOM512048,BSE
Lumax Auto Technologies Ltd. EOD Prices,BOM532796,BSE
Lumax Automotive Systems Ltd. EOD Prices,BOM532537,BSE
Lumax Industries Ltd. EOD Prices,BOM517206,BSE
Luminaire Technologies Ltd. EOD Prices,BOM526045,BSE
Lupin Ltd. EOD Prices,BOM500257,BSE
Lws Knitwear Ltd. EOD Prices,BOM531402,BSE
Lycos Internet Limited EOD Prices,BOM532368,BSE
Lyka Labs Ltd. EOD Prices,BOM500259,BSE
Lykis Limited EOD Prices,BOM530689,BSE
Lynx Machinery & Commercials Ltd. EOD Prices,BOM505320,BSE
Lypsa Gems & Jewellery Ltd EOD Prices,BOM534532,BSE
M K Exim India Ltd EOD Prices,BOM590060,BSE
M.b.parikh Finstocks Ltd. EOD Prices,BOM526935,BSE
M.d. Inducto Cast Ltd EOD Prices,BOM539226,BSE
M.k. Exim (india) Ltd EOD Prices,BOM538890,BSE
M.m.forgings Ltd.-$ EOD Prices,BOM522241,BSE
M.p.agro Industries Ltd. EOD Prices,BOM506543,BSE
M3 Global Finance Ltd EOD Prices,BOM538772,BSE
Maa Jagdambe Tradelinks Limited EOD Prices,BOM511082,BSE
Maan Aluminium Ltd. EOD Prices,BOM532906,BSE
Mac Charles (india) Ltd. EOD Prices,BOM507836,BSE
Machino Plastics Ltd.-$ EOD Prices,BOM523248,BSE
Mack Trading Co.ltd. EOD Prices,BOM501471,BSE
Macro (international) Exports Ltd. EOD Prices,BOM512600,BSE
Madhav Marbles & Granites Ltd. EOD Prices,BOM515093,BSE
Madhucon Projects Ltd.-$ EOD Prices,BOM531497,BSE
Madhur Capital & Finance Ltd. EOD Prices,BOM511638,BSE
Madhur Industries Ltd. EOD Prices,BOM519279,BSE
Madhusudan Industries Ltd. EOD Prices,BOM515059,BSE
Madhusudan Securities Ltd. EOD Prices,BOM511000,BSE
Madras Fertilizers Ltd EOD Prices,BOM590134,BSE
Maestros Electronics & Telecommunications Systems Ltd EOD Prices,BOM538401,BSE
Maestros Mediline Systems Ltd.-$ EOD Prices,BOM501209,BSE
Mafatlal Industries Ltd.-$ EOD Prices,BOM500264,BSE
Magma Fincorp Ltd. EOD Prices,BOM524000,BSE
Magna Colors Ltd. EOD Prices,BOM524270,BSE
Magna Electro Castings Ltd.-$ EOD Prices,BOM517449,BSE
Magna Industries & Exports Ltd. EOD Prices,BOM523872,BSE
Magnanimous Trade & Finance Ltd. EOD Prices,BOM512377,BSE
Magnum Ltd. EOD Prices,BOM530347,BSE
Magnum Ventures Ltd. EOD Prices,BOM532896,BSE
Maha Rashtra Apex Corporation Ltd. EOD Prices,BOM523384,BSE
Mahaan Foods Ltd. EOD Prices,BOM519612,BSE
Mahabir Metallex Ltd EOD Prices,BOM539041,BSE
Mahalaxmi Rubtech Ltd. EOD Prices,BOM514450,BSE
Mahalaxmi Seamless Ltd.-$ EOD Prices,BOM513460,BSE
Mahamaya Steel Industries Ltd. EOD Prices,BOM513554,BSE
Mahan Industries Ltd. EOD Prices,BOM531515,BSE
Mahanagar Telephone Nigam Ltd. EOD Prices,BOM500108,BSE
Mahanivesh (india) Ltd. EOD Prices,BOM530441,BSE
Maharaja Shree Umaid Mills Ltd.-$ EOD Prices,BOM530059,BSE
Maharashtra Corporation Ltd. EOD Prices,BOM505523,BSE
Maharashtra Polybutenes Ltd. EOD Prices,BOM524232,BSE
Maharashtra Scooters Ltd. EOD Prices,BOM500266,BSE
Maharashtra Seamless Ltd. EOD Prices,BOM500265,BSE
Mahasagar Travels Ltd. EOD Prices,BOM526795,BSE
Mahashree Trading Ltd. EOD Prices,BOM512337,BSE
Mahaveer Infoway Ltd EOD Prices,BOM539383,BSE
Mahaveer Infoway Ltd.-$ EOD Prices,BOM590117,BSE
Mahavir Advanced Remedies Ltd. EOD Prices,BOM531689,BSE
Mahavir Impex Ltd. EOD Prices,BOM531664,BSE
Mahavir Industries Limited EOD Prices,BOM531648,BSE
Mahesh Agriculture Implements & Steel Forge Ltd. EOD Prices,BOM506041,BSE
Mahindra & Mahindra Financial Services Ltd. EOD Prices,BOM532720,BSE
Mahindra & Mahindra Ltd. EOD Prices,BOM500520,BSE
Mahindra Cie Automotive Limited EOD Prices,BOM532756,BSE
Mahindra Composites Ltd.-$ EOD Prices,BOM524138,BSE
Mahindra Holidays & Resorts India Ltd. EOD Prices,BOM533088,BSE
Mahindra Lifespace Developers Ltd. EOD Prices,BOM532313,BSE
Mahindra Ugine Steel Co.ltd. EOD Prices,BOM504823,BSE
Maithan Alloys Ltd. EOD Prices,BOM590078,BSE
Majesco Ltd EOD Prices,BOM539289,BSE
Majestic Auto Ltd.-$ EOD Prices,BOM500267,BSE
Majestic Research Services And Solutions Ltd EOD Prices,BOM539229,BSE
Makers Laboratories Ltd.-$ EOD Prices,BOM506919,BSE
Malabar Trading Co.ltd. EOD Prices,BOM501473,BSE
Mallcom (india) Ltd EOD Prices,BOM539400,BSE
Malu Paper Mills Ltd. EOD Prices,BOM532728,BSE
Malwa Cotton Spinning Mills Ltd. EOD Prices,BOM502995,BSE
Man Industries (india) Ltd.-$ EOD Prices,BOM513269,BSE
Man Infraconstruction Ltd. EOD Prices,BOM533169,BSE
Manaksia Aluminium Company Ltd EOD Prices,BOM539045,BSE
Manaksia Coated Metals & Industries Ltd EOD Prices,BOM539046,BSE
Manaksia Industries Ltd EOD Prices,BOM539043,BSE
Manaksia Ltd. EOD Prices,BOM532932,BSE
Manaksia Steels Ltd EOD Prices,BOM539044,BSE
Manali Petrochemical Ltd. EOD Prices,BOM500268,BSE
Manappuram Finance Ltd. EOD Prices,BOM531213,BSE
Mandhana Industries Ltd EOD Prices,BOM533204,BSE
Mangal Credit And Fincorp Ltd. EOD Prices,BOM505850,BSE
Mangalam Cement Ltd. EOD Prices,BOM502157,BSE
Mangalam Drugs & Organics Ltd. EOD Prices,BOM532637,BSE
Mangalam Organics Limited EOD Prices,BOM514418,BSE
Mangalam Seeds Ltd EOD Prices,BOM539275,BSE
Mangalam Timber Products Ltd. EOD Prices,BOM516007,BSE
Mangalore Chemicals & Fertilizers Ltd. EOD Prices,BOM530011,BSE
Mangalore Refinery & Petrochemicals Ltd. EOD Prices,BOM500109,BSE
Mangalya Soft-tech Ltd. EOD Prices,BOM530243,BSE
Manipal Finance Corporation Ltd. EOD Prices,BOM507938,BSE
Manjeera Constructions Ltd. EOD Prices,BOM533078,BSE
Manjushree Technopack Ltd. EOD Prices,BOM532950,BSE
Manpasand Beverages Ltd EOD Prices,BOM539207,BSE
Manraj Housing Finance Ltd. EOD Prices,BOM530537,BSE
Mansi Finance (chennai) Ltd. EOD Prices,BOM511758,BSE
Manugraph India Ltd.-$ EOD Prices,BOM505324,BSE
Manvijay Development Company Ltd EOD Prices,BOM538970,BSE
Mapro Industries Ltd. EOD Prices,BOM509762,BSE
Maral Overseas Ltd. EOD Prices,BOM521018,BSE
Marathon Nextgen Realty Ltd. EOD Prices,BOM503101,BSE
Marathwada Refractories Ltd. EOD Prices,BOM502250,BSE
Mardia Samyoung Capillary Tubes Company Ltd. EOD Prices,BOM513544,BSE
Marg Ltd. EOD Prices,BOM530543,BSE
Marg Projects And Infrastructure Ltd. EOD Prices,BOM513648,BSE
Margo Finance Limited EOD Prices,BOM500206,BSE
Marico Ltd. EOD Prices,BOM531642,BSE
Market Creators Ltd. EOD Prices,BOM526891,BSE
Marksans Pharma Ltd. EOD Prices,BOM524404,BSE
Marsons Limited EOD Prices,BOM517467,BSE
Martin Burn Ltd. EOD Prices,BOM523566,BSE
Maruti Infrastructure Ltd. EOD Prices,BOM531540,BSE
Maruti Securities Ltd. EOD Prices,BOM531319,BSE
Maruti Suzuki India Ltd. EOD Prices,BOM532500,BSE
Marvel Capital & Finance (india) Ltd. EOD Prices,BOM530497,BSE
Mastek Ltd. EOD Prices,BOM523704,BSE
Master Chemicals Ltd. EOD Prices,BOM506867,BSE
Master Trust Ltd. EOD Prices,BOM511768,BSE
Mather & Platt Fire Systems Ltd. EOD Prices,BOM532470,BSE
Mathew Easow Research Securities Ltd. EOD Prices,BOM511688,BSE
Matra Kaushal Enterprise Limited EOD Prices,BOM526671,BSE
Matra Realty Ltd. EOD Prices,BOM512167,BSE
Mauria Udyog Ltd EOD Prices,BOM539219,BSE
Mavens Biotech Ltd. EOD Prices,BOM590083,BSE
Mavi Industries Ltd. EOD Prices,BOM500248,BSE
Mawana Sugars Ltd. EOD Prices,BOM523371,BSE
Max Alert Systems Ltd. EOD Prices,BOM534563,BSE
Max Financial Services Ltd EOD Prices,BOM500271,BSE
Maxheights Infrastructure Ltd. EOD Prices,BOM534338,BSE
Maximaa Systems Ltd. EOD Prices,BOM526538,BSE
Maxwell Industries Ltd. EOD Prices,BOM532613,BSE
Mayur Floorings Ltd. EOD Prices,BOM531221,BSE
Mayur Leather Products Ltd. EOD Prices,BOM531680,BSE
Mayur Uniquoters Ltd.-$ EOD Prices,BOM522249,BSE
Mazda Ltd.-$ EOD Prices,BOM523792,BSE
Mbl Infrastructures Ltd EOD Prices,BOM533152,BSE
Mcdowell Holdings Ltd. EOD Prices,BOM532852,BSE
Mcleod Russel India Ltd. EOD Prices,BOM532654,BSE
Mcnally Bharat Engineering Company Ltd. EOD Prices,BOM532629,BSE
Mcs Ltd. EOD Prices,BOM523221,BSE
Medi-caps Ltd.-$ EOD Prices,BOM523144,BSE
Media Matrix Worldwide Ltd. EOD Prices,BOM512267,BSE
Mediaone Global Entertainment Ltd. EOD Prices,BOM503685,BSE
Medicamen Biotech Ltd.-$ EOD Prices,BOM531146,BSE
Medinova Diagnostic Services Ltd. EOD Prices,BOM526301,BSE
Meenakshi Enterprises Ltd EOD Prices,BOM538834,BSE
Meenakshi Steel Industries Ltd. EOD Prices,BOM512505,BSE
Mefcom Agro Industries Ltd. EOD Prices,BOM511276,BSE
Mefcom Capital Markets Ltd. EOD Prices,BOM531176,BSE
Mega Corporation Ltd. EOD Prices,BOM531417,BSE
Mega Fin (india) Ltd. EOD Prices,BOM532105,BSE
Megasoft Ltd. EOD Prices,BOM532408,BSE
Meghmani Organics Ltd. EOD Prices,BOM532865,BSE
Meglon Infra-real (india) Ltd. EOD Prices,BOM511367,BSE
Megri Soft Ltd EOD Prices,BOM539012,BSE
Mehta Housing Finance Ltd. EOD Prices,BOM511740,BSE
Mehta Integrated Finance Ltd. EOD Prices,BOM511377,BSE
Mehta Securities Ltd. EOD Prices,BOM511738,BSE
Melstar Information Technologies Ltd. EOD Prices,BOM532307,BSE
Menon Bearings Ltd.-$ EOD Prices,BOM523828,BSE
Menon Pistons Ltd. EOD Prices,BOM531727,BSE
Mep Infrastructure Developers Ltd EOD Prices,BOM539126,BSE
Mercantile Ventures Ltd EOD Prices,BOM538942,BSE
Mercator Ltd.-$ EOD Prices,BOM526235,BSE
Merck Ltd. EOD Prices,BOM500126,BSE
Mercury Laboratories Ltd EOD Prices,BOM538964,BSE
Mercury Metals Ltd. EOD Prices,BOM531357,BSE
Mercury Trade Links Ltd. EOD Prices,BOM512415,BSE
Metal Coatings (india) Ltd. EOD Prices,BOM531810,BSE
Metalyst Forgings Limited EOD Prices,BOM513335,BSE
Metkore Alloys & Industries Ltd. EOD Prices,BOM532990,BSE
Metroglobal Limited EOD Prices,BOM500159,BSE
Meuse Kara & Sungrace Mafatlal Ltd. EOD Prices,BOM512253,BSE
Mewar Polytex Ltd. EOD Prices,BOM531236,BSE
Mfl India Ltd. EOD Prices,BOM526622,BSE
Mfs Intercorp Ltd. EOD Prices,BOM513721,BSE
Mic Electronics Ltd. EOD Prices,BOM532850,BSE
Micro Technologies (india) Ltd.-$ EOD Prices,BOM532494,BSE
Microse India Ltd. EOD Prices,BOM523343,BSE
Microsec Financial Services Ltd. EOD Prices,BOM533259,BSE
Mid East Portfolio Management Ltd. EOD Prices,BOM526251,BSE
Mid India Industries Ltd. EOD Prices,BOM500277,BSE
Midas Infra Trade Limited EOD Prices,BOM531192,BSE
Midland Polymers Ltd. EOD Prices,BOM531597,BSE
Midwest Gold Ltd. EOD Prices,BOM526570,BSE
Mihika Industries Ltd EOD Prices,BOM538895,BSE
Milestone Global Ltd. EOD Prices,BOM531338,BSE
Milkfood Ltd. EOD Prices,BOM507621,BSE
Millennium Online Solutions ( India ) Ltd EOD Prices,BOM511187,BSE
Minal Industries Limited EOD Prices,BOM522235,BSE
Minaxi Textiles Ltd. EOD Prices,BOM531456,BSE
Minda Corporation Ltd EOD Prices,BOM538962,BSE
Minda Finance Ltd EOD Prices,BOM539303,BSE
Minda Industries Ltd.-$ EOD Prices,BOM532539,BSE
Mindteck (india) Ltd. EOD Prices,BOM517344,BSE
Mindtree Ltd. EOD Prices,BOM532819,BSE
Mindvision Capital Ltd EOD Prices,BOM530955,BSE
Mini Diamonds (india) Ltd. EOD Prices,BOM523373,BSE
Minolta Finance Ltd. EOD Prices,BOM532164,BSE
Mipco Seamless Rings (gujarat) Ltd. EOD Prices,BOM505797,BSE
Mirc Electronics Ltd. EOD Prices,BOM500279,BSE
Mirch Technologies (india) Ltd EOD Prices,BOM505336,BSE
Mirza International Ltd. EOD Prices,BOM526642,BSE
Mishka Exim Ltd EOD Prices,BOM539220,BSE
Mishka Finance And Trading Ltd. EOD Prices,BOM512191,BSE
Mitshi India Ltd EOD Prices,BOM523782,BSE
Miven Machine Tools Ltd. EOD Prices,BOM522036,BSE
Mm Rubber Company Ltd. EOD Prices,BOM509196,BSE
Mmtc Ltd. EOD Prices,BOM513377,BSE
Mobile Telecommunications Ltd. EOD Prices,BOM532127,BSE
Modella Woollens Ltd. EOD Prices,BOM503772,BSE
Modern Dairies Ltd. EOD Prices,BOM519287,BSE
Modern India Ltd.-$ EOD Prices,BOM503015,BSE
Modern Shares & Stockbrokers Ltd. EOD Prices,BOM509760,BSE
Modern Steels Ltd.-$ EOD Prices,BOM513303,BSE
Modex International Securities Ltd EOD Prices,BOM537092,BSE
Modi Naturals Limited EOD Prices,BOM519003,BSE
Modi Rubber Ltd. EOD Prices,BOM500890,BSE
Modi Udyog Ltd EOD Prices,BOM539007,BSE
Modipon Ltd. EOD Prices,BOM503776,BSE
Modison Metals Ltd.-$ EOD Prices,BOM506261,BSE
Mohit Industries Ltd.-$ EOD Prices,BOM531453,BSE
Mohit Paper Mills Ltd. EOD Prices,BOM530169,BSE
Mohite Industries Ltd EOD Prices,BOM532140,BSE
Moil Ltd. EOD Prices,BOM533286,BSE
Mold-tek Packaging Limited EOD Prices,BOM533080,BSE
Mold-tek Technologies Ltd. EOD Prices,BOM526263,BSE
Monarch Networth Capital Ltd EOD Prices,BOM511551,BSE
Money Masters Leasing & Finance Ltd EOD Prices,BOM535910,BSE
Monnet Industries Ltd. EOD Prices,BOM532078,BSE
Monnet Ispat & Energy Ltd. EOD Prices,BOM513446,BSE
Monnet Project Developers Ltd. EOD Prices,BOM532723,BSE
Monotype India Ltd. EOD Prices,BOM505343,BSE
Monsanto India Ltd. EOD Prices,BOM524084,BSE
Monte Carlo Fashions Ltd EOD Prices,BOM538836,BSE
Moonbeam Industries Ltd. EOD Prices,BOM530033,BSE
Moongipa Capital Finance Ltd. EOD Prices,BOM530167,BSE
Moongipa Securities Ltd EOD Prices,BOM539199,BSE
Morarjee Textiles Ltd. EOD Prices,BOM532621,BSE
Morarka Finance Ltd. EOD Prices,BOM511549,BSE
Morepen Laboratories Ltd. EOD Prices,BOM500288,BSE
Morgan Ventures Ltd. EOD Prices,BOM526237,BSE
Morganite Crucible (india) Ltd. EOD Prices,BOM523160,BSE
Moryo Industries Ltd. EOD Prices,BOM513305,BSE
Moschip Semiconductor Technology Ltd. EOD Prices,BOM532407,BSE
Moser Baer India Ltd. EOD Prices,BOM517140,BSE
Motherson Sumi Systems Ltd. EOD Prices,BOM517334,BSE
Motilal Oswal Financial Services Ltd. EOD Prices,BOM532892,BSE
Motilal Oswal Mutual Fund - Motilal Oswal Most Shares Midcap 100 Etf- Growth Option EOD Prices,BOM536960,BSE
Motilal Oswal Mutual Fund EOD Prices,BOM590115,BSE
Motilalbbph EOD Prices,BOM535729,BSE
Motor & General Finance Ltd. EOD Prices,BOM501343,BSE
Mount Everest Mineral Water Ltd. EOD Prices,BOM531096,BSE
Mount Shivalik Industries Ltd.-$ EOD Prices,BOM507522,BSE
Moving Picture Company (india) Ltd. EOD Prices,BOM590011,BSE
Mphasis Ltd. EOD Prices,BOM526299,BSE
Mpil Corporation Ltd. EOD Prices,BOM500450,BSE
Mpl Plastics Limited EOD Prices,BOM526143,BSE
Mps Ltd. EOD Prices,BOM532440,BSE
Mrf Ltd. EOD Prices,BOM500290,BSE
Mro-tek Ltd. EOD Prices,BOM532376,BSE
Mrugesh Trading Ltd. EOD Prices,BOM512065,BSE
Msp Steel & Power Ltd. EOD Prices,BOM532650,BSE
Msr India Ltd. EOD Prices,BOM508922,BSE
Mt Educare Ltd. EOD Prices,BOM534312,BSE
Mudit Finlease Ltd. EOD Prices,BOM531919,BSE
Mukand Engineers Ltd. EOD Prices,BOM532097,BSE
Mukand Ltd. EOD Prices,BOM500460,BSE
Mukat Pipes Ltd.-$ EOD Prices,BOM523832,BSE
Mukesh Babu Financial Services Ltd. EOD Prices,BOM530341,BSE
Mukesh Steels Ltd. EOD Prices,BOM513265,BSE
Mukesh Strips Ltd. EOD Prices,BOM517374,BSE
Mukta Agriculture Ltd EOD Prices,BOM535204,BSE
Mukta Arts Ltd. EOD Prices,BOM532357,BSE
Muller & Phipps (india) Ltd. EOD Prices,BOM501477,BSE
Multi Commodity Exchange Of India Ltd. EOD Prices,BOM534091,BSE
Multibase India Ltd. EOD Prices,BOM526169,BSE
Multiplus Holdings Ltd. EOD Prices,BOM505594,BSE
Multipurpose Trading & Agencies Ltd. EOD Prices,BOM504356,BSE
Munjal Auto Industries Ltd. EOD Prices,BOM520059,BSE
Munjal Showa Ltd. EOD Prices,BOM520043,BSE
Munoth Capital Market Ltd. EOD Prices,BOM511200,BSE
Munoth Financial Services Ltd. EOD Prices,BOM531821,BSE
Munoth Investments Ltd. EOD Prices,BOM511401,BSE
Murli Industries Ltd.-$ EOD Prices,BOM519323,BSE
Murudeshwar Ceramics Ltd. EOD Prices,BOM515037,BSE
Muthoot Capital Services Ltd. EOD Prices,BOM511766,BSE
Muthoot Finance Ltd. EOD Prices,BOM533398,BSE
Mvl Ltd. EOD Prices,BOM532991,BSE
Mw Unitexx Ltd. EOD Prices,BOM532442,BSE
My Money Securities Ltd EOD Prices,BOM538862,BSE
Mysore Paper Mills Ltd. EOD Prices,BOM502405,BSE
Mysore Petro Chemicals Ltd.-$ EOD Prices,BOM506734,BSE
N.d.metal Industries Ltd. EOD Prices,BOM512024,BSE
N.g.industries Ltd.-$ EOD Prices,BOM530897,BSE
N.r.agarwal Industries Ltd. EOD Prices,BOM516082,BSE
N.r.international Ltd. EOD Prices,BOM532623,BSE
N2n Technologies Limited EOD Prices,BOM512279,BSE
Nagarjuna Agri Tech Ltd. EOD Prices,BOM531832,BSE
Nagarjuna Agrichem Ltd. EOD Prices,BOM524709,BSE
Nagarjuna Oil Refinery Ltd. EOD Prices,BOM534184,BSE
Nagpur Power & Industries Ltd. EOD Prices,BOM532362,BSE
Nagreeka Capital & Infrastructure Ltd. EOD Prices,BOM532895,BSE
Nagreeka Exports Ltd.-$ EOD Prices,BOM521109,BSE
Nahar Capital & Financial Services Ltd. EOD Prices,BOM532952,BSE
Nahar Industrial Enterprises Ltd.-$ EOD Prices,BOM519136,BSE
Nahar Polyfilms Ltd. EOD Prices,BOM523391,BSE
Nahar Spinning Mills Ltd. EOD Prices,BOM500296,BSE
Nakoda Limited-$ EOD Prices,BOM521030,BSE
Nakshatra Infrastructure Ltd. EOD Prices,BOM530375,BSE
Nalin Lease Finance Ltd. EOD Prices,BOM531212,BSE
Nalwa Sons Investments Ltd. EOD Prices,BOM532256,BSE
Nandan Denim Limited EOD Prices,BOM532641,BSE
Naolin Enterprises Limited EOD Prices,BOM590114,BSE
Narbada Gems And Jewellery Ltd. EOD Prices,BOM519455,BSE
Narendra Properties Ltd. EOD Prices,BOM531416,BSE
Narmada Gelatines Ltd. EOD Prices,BOM526739,BSE
Natco Pharma Ltd. EOD Prices,BOM524816,BSE
Nath Bio-genes (india) Ltd EOD Prices,BOM537291,BSE
Nath Pulp & Paper Mills Ltd. EOD Prices,BOM502407,BSE
National Aluminium Co.ltd. EOD Prices,BOM532234,BSE
National Fertilizers Ltd. EOD Prices,BOM523630,BSE
National Fittings Limited EOD Prices,BOM531289,BSE
National General Industries Ltd. EOD Prices,BOM531651,BSE
National Oxygen Ltd. EOD Prices,BOM507813,BSE
National Peroxide Ltd. EOD Prices,BOM500298,BSE
National Plastic Industries Ltd. EOD Prices,BOM526616,BSE
National Plastic Technologies Ltd. EOD Prices,BOM531287,BSE
National Steel & Agro Industries Ltd. EOD Prices,BOM513179,BSE
Natraj Proteins Ltd. EOD Prices,BOM530119,BSE
Natura Hue Chem Ltd. EOD Prices,BOM531834,BSE
Natural Capsules Ltd. EOD Prices,BOM524654,BSE
Naturite Agro Products Ltd EOD Prices,BOM538926,BSE
Nava Bharat Ventures Ltd. EOD Prices,BOM513023,BSE
Navcom Industries Ltd. EOD Prices,BOM519200,BSE
Navin Fluorine International Limited-$ EOD Prices,BOM532504,BSE
Navkar Builders Ltd. EOD Prices,BOM531494,BSE
Navkar Corporation Ltd EOD Prices,BOM539332,BSE
Navneet Education Limited EOD Prices,BOM508989,BSE
Naysaa Securities Ltd EOD Prices,BOM538668,BSE
Nb Footwear Ltd. EOD Prices,BOM523242,BSE
Nbcc (india) Ltd EOD Prices,BOM534309,BSE
Ncc Finance Ltd. EOD Prices,BOM531452,BSE
Ncc Limited EOD Prices,BOM500294,BSE
Ncl Industries Ltd.-$ EOD Prices,BOM502168,BSE
Ncl Research & Financial Services Ltd. EOD Prices,BOM530557,BSE
Nda Securities Ltd. EOD Prices,BOM511535,BSE
Nectar Lifesciences Ltd. EOD Prices,BOM532649,BSE
Neelamalai Agro Industries Ltd. EOD Prices,BOM508670,BSE
Neelkanth Rockminerals Ltd. EOD Prices,BOM531049,BSE
Neelkanth Technologies Ltd. EOD Prices,BOM530697,BSE
Neeraj Paper Marketing Ltd EOD Prices,BOM539409,BSE
Neha International Ltd. EOD Prices,BOM519560,BSE
Neil Industries Ltd EOD Prices,BOM539016,BSE
Nelcast Ltd. EOD Prices,BOM532864,BSE
Nelco Ltd. EOD Prices,BOM504112,BSE
Neo Corp International Ltd. EOD Prices,BOM523820,BSE
Neo Infracon Ltd. EOD Prices,BOM514332,BSE
Neogem India Ltd. EOD Prices,BOM526195,BSE
Nepc India Ltd. EOD Prices,BOM500301,BSE
Nesco Ltd. EOD Prices,BOM505355,BSE
Nestle India Ltd. EOD Prices,BOM500790,BSE
Net 4 India Ltd. EOD Prices,BOM532912,BSE
Netlink Solutions (india) Ltd. EOD Prices,BOM509040,BSE
Nettlinx Ltd. EOD Prices,BOM511658,BSE
Netvista Information Technology Ltd. EOD Prices,BOM530811,BSE
Network Ltd. EOD Prices,BOM523558,BSE
Network18 Media & Investments Ltd. EOD Prices,BOM532798,BSE
Neuland Laboratories Ltd. EOD Prices,BOM524558,BSE
New Delhi Television Ltd. EOD Prices,BOM532529,BSE
New Markets Advisory Ltd. EOD Prices,BOM508867,BSE
New Sagar Trading Co.ltd. EOD Prices,BOM501479,BSE
Newever Trade Wings Ltd EOD Prices,BOM536644,BSE
Newtime Infrastructure Limited EOD Prices,BOM531959,BSE
Next Mediaworks Ltd. EOD Prices,BOM532416,BSE
Nexus Commodities And Technologies Ltd EOD Prices,BOM538874,BSE
Nexxoft Infotel Ltd. EOD Prices,BOM532045,BSE
Neyveli Lignite Corporation Ltd. EOD Prices,BOM513683,BSE
Ngl Fine-chem Ltd. EOD Prices,BOM524774,BSE
Nhc Foods Ltd. EOD Prices,BOM517554,BSE
Nhpc Ltd. EOD Prices,BOM533098,BSE
Nicco Corporation Ltd. EOD Prices,BOM590028,BSE
Nicco Parks & Resorts Ltd.-$ EOD Prices,BOM526721,BSE
Nicco Uco Alliance Credit Ltd. EOD Prices,BOM523209,BSE
Nidhi Granites Ltd. EOD Prices,BOM512103,BSE
Nihar Info Global Ltd. EOD Prices,BOM531083,BSE
Niit Ltd. EOD Prices,BOM500304,BSE
Niit Technologies Ltd. EOD Prices,BOM532541,BSE
Nikhil Adhesives Ltd.-$ EOD Prices,BOM526159,BSE
Nikki Global Finance Ltd. EOD Prices,BOM531272,BSE
Nila Infrastructures Ltd. EOD Prices,BOM530377,BSE
Nilachal Refractories Ltd. EOD Prices,BOM502294,BSE
Nile Ltd. EOD Prices,BOM530129,BSE
Nilkamal Ltd. EOD Prices,BOM523385,BSE
Nimbus Foods Industries Ltd. EOD Prices,BOM531598,BSE
Nimbus Industries Ltd. EOD Prices,BOM530971,BSE
Nimbus Projects Ltd. EOD Prices,BOM511714,BSE
Niraj Cement Structurals Ltd. EOD Prices,BOM532986,BSE
