description,code,type
Ambalal Sarabhai Enterprises Ltd. EOD Prices,BOM500009,BSE
Ambica Agarbathies & Aroma Industries Ltd. EOD Prices,BOM532335,BSE
Ambika Cotton Mills Ltd. EOD Prices,BOM531978,BSE
Ambition Mica Ltd EOD Prices,BOM539223,BSE
Ambitious Plastomac Company Ltd. EOD Prices,BOM526439,BSE
Ambuja Cements Ltd. EOD Prices,BOM500425,BSE
Amco India Ltd.-$ EOD Prices,BOM530133,BSE
Amd Industries Ltd. EOD Prices,BOM532828,BSE
Amforge Industries Ltd. EOD Prices,BOM513117,BSE
Amines & Plasticizers Ltd. EOD Prices,BOM506248,BSE
Amit International Ltd. EOD Prices,BOM531300,BSE
Amit Securities Ltd. EOD Prices,BOM531557,BSE
Amit Spinning Industries Ltd. EOD Prices,BOM521076,BSE
Amradeep Industries Ltd. EOD Prices,BOM531681,BSE
Amrapali Capital And Finance Services Ltd EOD Prices,BOM536737,BSE
Amrapali Fincap Ltd EOD Prices,BOM539265,BSE
Amrapali Industries Ltd. EOD Prices,BOM526241,BSE
Amraworld Agrico Ltd. EOD Prices,BOM531991,BSE
Amrit Corp.ltd.-$ EOD Prices,BOM507525,BSE
Amrutanjan Health Care Ltd.-$ EOD Prices,BOM590006,BSE
Amsons Apparels Ltd EOD Prices,BOM538861,BSE
Amtek Auto Ltd.-$ EOD Prices,BOM520077,BSE
Amulya Leasing & Finance Ltd. EOD Prices,BOM531761,BSE
Anand Credit Ltd. EOD Prices,BOM531678,BSE
Anand Projects Ltd EOD Prices,BOM501630,BSE
Anant Raj Limited-$ EOD Prices,BOM515055,BSE
Ananthi Constructions Ltd. EOD Prices,BOM526833,BSE
Anar Industries Ltd. EOD Prices,BOM531127,BSE
Andhra Bank EOD Prices,BOM532418,BSE
Andhra Cements Ltd. EOD Prices,BOM532141,BSE
Andhra Petrochemicals Ltd. EOD Prices,BOM500012,BSE
Andhra Sugars Ltd. EOD Prices,BOM590062,BSE
Andrew Yule & Company Ltd. EOD Prices,BOM526173,BSE
Ang Industries Limited EOD Prices,BOM530721,BSE
Anik Industries Ltd. EOD Prices,BOM519383,BSE
Anil Ltd. EOD Prices,BOM532910,BSE
Anil Special Steel Industries Ltd.-$ EOD Prices,BOM504629,BSE
Anisha Impex Ltd EOD Prices,BOM537785,BSE
Anjani Finance Ltd. EOD Prices,BOM531878,BSE
Anjani Foods Ltd EOD Prices,BOM511153,BSE
Anjani Portland Cement Ltd.-$ EOD Prices,BOM518091,BSE
Anjani Synthetics Ltd.-$ EOD Prices,BOM531223,BSE
Anka India Ltd. EOD Prices,BOM531673,BSE
Ankit Metal & Power Ltd. EOD Prices,BOM532870,BSE
Ankush Finstock Ltd. EOD Prices,BOM531519,BSE
Anna Infrastructures Ltd. EOD Prices,BOM530799,BSE
Ans Industries Ltd EOD Prices,BOM531406,BSE
Ansal Buildwell Ltd.-$ EOD Prices,BOM523007,BSE
Ansal Housing & Construction Ltd.-$ EOD Prices,BOM507828,BSE
Ansal Properties & Infrastructure Ltd. EOD Prices,BOM500013,BSE
Anshuni Commercials Ltd. EOD Prices,BOM512091,BSE
Anshus Clothing Ltd. EOD Prices,BOM534707,BSE
Anu's Laboratories Ltd. EOD Prices,BOM532981,BSE
Anubhav Infrastructure Ltd EOD Prices,BOM538833,BSE
Anuh Pharma Ltd. EOD Prices,BOM506260,BSE
Anukaran Commercial Enterprises Ltd. EOD Prices,BOM512355,BSE
Anup Malleable Ltd. EOD Prices,BOM506087,BSE
Apar Industries Ltd. EOD Prices,BOM532259,BSE
Apcotex Industries Ltd. EOD Prices,BOM523694,BSE
Apis India Ltd. EOD Prices,BOM506166,BSE
Apl Apollo Tubes Ltd. EOD Prices,BOM533758,BSE
Aplab Ltd.-$ EOD Prices,BOM517096,BSE
Aplaya Creations Ltd EOD Prices,BOM511064,BSE
Apm Industries Ltd.-$ EOD Prices,BOM523537,BSE
Apollo Finvest (india) Ltd. EOD Prices,BOM512437,BSE
Apollo Hospitals Enterprise Ltd. EOD Prices,BOM508869,BSE
Apollo Tyres Ltd. EOD Prices,BOM500877,BSE
Apple Finance Ltd. EOD Prices,BOM500014,BSE
Appu Marketing & Manufacturing Ltd EOD Prices,BOM538653,BSE
Apte Amalgamations Ltd. EOD Prices,BOM507265,BSE
Aptech Ltd. EOD Prices,BOM532475,BSE
Aptechbbph EOD Prices,BOM535790,BSE
Aqua Logistics Ltd EOD Prices,BOM533159,BSE
Aqua Pumps Infra Ventures Limited EOD Prices,BOM531364,BSE
Arambhan Hospitality Services Ltd EOD Prices,BOM539403,BSE
Aramusk Infrastructure Investments Ltd. EOD Prices,BOM532068,BSE
